V_ACCT_LGHT,C_IP,C_VMP,V_N_VM_MESS,V_T_DAY_CHG,V_T_EVE_CALLS,V_T_EVE_CHG,V_T_NIG_CALLS,V_T_NIG_CHG,V_T_INT_CALLS,V_T_INT_CHG,V_CS_CALLS,TARGET,ID
128,No,Yes,25,45.07,99,16.78,91,11.01,3,2.7,1,0,1
107,No,Yes,26,27.47,103,16.62,103,11.45,3,3.7,1,0,2
137,No,No,0,41.38,110,10.3,104,7.32,5,3.29,0,0,3
65,No,No,0,21.95,83,19.42,111,9.4,6,3.43,4,1,11
168,No,No,0,21.9,71,8.92,128,6.35,2,3.02,1,0,13
95,No,No,0,26.62,75,21.05,115,8.65,5,3.32,3,0,14
62,No,No,0,20.52,76,26.11,99,9.14,6,3.54,4,0,15
85,No,Yes,27,33.39,90,23.88,75,4.02,4,3.73,1,0,17
93,No,No,0,32.42,111,18.55,121,5.83,3,2.19,3,0,18
76,No,Yes,33,32.25,65,18.09,108,7.46,5,2.7,1,0,19
73,No,No,0,38.15,88,13.56,74,8.68,2,3.51,1,0,20
147,No,No,0,26.37,93,20.37,133,9.4,4,2.86,0,0,21
77,No,No,0,10.61,121,14.44,64,9.43,6,1.54,5,1,22
111,No,No,0,18.77,102,11.67,105,8.53,6,2.08,2,0,24
132,No,No,0,13.79,72,20.84,115,10.67,2,2.78,0,0,25
174,No,No,0,21.13,112,23.55,115,11.28,5,4.19,3,0,26
57,No,Yes,39,36.21,112,16.24,115,8.22,3,2.57,0,0,27
54,No,No,0,22.83,100,13.22,68,4.59,4,3.97,3,0,28
20,No,No,0,32.3,84,21.95,102,8.17,6,1.7,0,0,29
49,No,No,0,20.28,109,18.28,90,8.04,1,3,1,0,30
75,No,No,0,38.44,107,17.13,98,11.08,5,2.78,1,0,32
12,No,No,0,42.43,119,21.45,90,12.61,3,3.19,1,1,34
57,No,Yes,25,30.06,75,16.58,116,9.61,4,2.24,0,0,35
72,No,Yes,37,37.4,102,18.47,71,6.88,6,3.97,3,0,36
36,No,Yes,30,24.87,80,13.81,109,5.82,6,3.92,0,0,37
78,No,No,0,22.24,116,19.01,108,10.25,5,2.7,1,0,38
149,No,No,0,23.87,92,23.1,108,8.47,9,3,1,0,40
98,No,No,0,21.47,85,14.18,135,8.45,2,2.54,3,0,41
34,No,No,0,21.22,98,23.99,78,14.02,4,2.7,2,0,43
160,No,No,0,14.59,110,14.05,92,8.03,4,2.48,3,0,44
64,No,No,0,26.18,118,19.19,86,11.94,3,0.95,1,0,45
59,No,Yes,28,20.55,92,18.11,116,7.34,5,2.3,2,0,46
65,No,No,0,35.92,122,13.82,118,6.06,5,3.56,3,0,47
142,No,No,0,31.79,74,11.44,127,10.9,5,2,2,0,48
