h_fare,h_tips,h_tolls,h_extras,h_total,h_n,comp_name_top10,mop,day,hour,month,weekday,year
17462.19,12.09,0,1682.8,19157.08,1671,unknown,Cash,1,1,1,4,2016
12062.23,2927.32,0,1099.25,16088.8,1073,unknown,"Credit Card",1,1,1,4,2016
15251.54,24.44,0,1306.75,16582.73,1469,unknown,Cash,1,2,1,4,2016
12268.93,2882.93,0,1052.85,16204.71,1096,unknown,"Credit Card",1,2,1,4,2016
60.1,8.67,0,0,68.77,4,unknown,otro,1,2,1,4,2016
6.05,1,0,0,7.05,1,unknown,otro,1,2,1,4,2016
10999.11,9.16,0,824.75,11833.02,1087,unknown,Cash,1,3,1,4,2016
8688.64000000001,1907.28,0,605,11200.92,768,unknown,"Credit Card",1,3,1,4,2016
41.35,8.47,0,0,49.82,3,unknown,otro,1,3,1,4,2016
5586.9,0,0,412,5998.9,484,unknown,Cash,1,4,1,4,2016
4088.17,844.66,0,339,5271.83,348,unknown,"Credit Card",1,4,1,4,2016
59.4,7.34,0,0,66.74,4,unknown,otro,1,4,1,4,2016
2401.71,3,0,84.5,2489.21,194,unknown,Cash,1,5,1,4,2016
1744.98,348.15,0,61.75,2154.88,138,unknown,"Credit Card",1,5,1,4,2016
110.15,24.81,0,0,134.96,7,unknown,otro,1,5,1,4,2016
1927.21,0,0,78.5,2005.71,153,unknown,Cash,1,6,1,4,2016
1519.28,286.82,0,65,1871.1,76,unknown,"Credit Card",1,6,1,4,2016
2006.15,0,0,99.5,2105.65,145,unknown,Cash,1,7,1,4,2016
1396.56,255.27,0,44,1695.83,71,unknown,"Credit Card",1,7,1,4,2016
1994.62,0,0,85.75,2080.37,167,unknown,Cash,1,8,1,4,2016
873.38,193.67,0,45,1112.05,63,unknown,"Credit Card",1,8,1,4,2016
2934.9,0,0,133.75,3068.65,268,unknown,Cash,1,9,1,4,2016
1851.38,360.97,0,171.5,2383.85,117,unknown,"Credit Card",1,9,1,4,2016
6.25,1.25,0,0,7.5,1,unknown,otro,1,9,1,4,2016
9.85,0,0,0,9.85,1,unknown,otro,1,9,1,4,2016
4771.59,3,0,321.25,5095.84,470,unknown,Cash,1,10,1,4,2016
2785.21,576.94,0,186.25,3548.4,183,unknown,"Credit Card",1,10,1,4,2016
7238.19999999999,3,50,501.5,7792.69999999999,680,unknown,Cash,1,11,1,4,2016
4103.12,936.66,0,297,5336.78,301,unknown,"Credit Card",1,11,1,4,2016
0,0,0,0,0,1,unknown,otro,1,11,1,4,2016
13.45,0,0,0,13.45,1,unknown,otro,1,11,1,4,2016
7502.86,3,25,594.5,8125.36000000001,753,unknown,Cash,1,12,1,4,2016
4845.36,1097.45,0,397.5,6340.31,387,unknown,"Credit Card",1,12,1,4,2016
17.7,2.69,0,0,20.39,2,unknown,otro,1,12,1,4,2016
6816.98,0,0,606,7422.98,678,unknown,Cash,1,13,1,4,2016
4287.03,956.98,0,401.25,5645.26,346,unknown,"Credit Card",1,13,1,4,2016
31.75,6.35,0,0,38.1,1,unknown,otro,1,13,1,4,2016
6879.12,0,0,590,7469.12,726,unknown,Cash,1,14,1,4,2016
4648.41,961.78,0,361,5971.19,345,unknown,"Credit Card",1,14,1,4,2016
13759.56,5,50,597.82,14412.38,756,unknown,Cash,1,15,1,4,2016
5089.43,1096.96,0,424.25,6610.64,376,unknown,"Credit Card",1,15,1,4,2016
13972.32,0,50,651.5,14673.82,793,unknown,Cash,1,16,1,4,2016
5297.3,1109.31,0,482.75,6889.36,411,unknown,"Credit Card",1,16,1,4,2016
5.45,0,0,0,5.45,1,unknown,otro,1,16,1,4,2016
8293.21,2,25,667.75,8987.96,822,unknown,Cash,1,17,1,4,2016
5765.32,1231.45,0,440.25,7437.02,418,unknown,"Credit Card",1,17,1,4,2016
41.7,8.34,0,0,50.04,2,unknown,otro,1,17,1,4,2016
4.65,0,0,0,4.65,1,unknown,otro,1,17,1,4,2016
8169.35,3.56,51.9,744,8968.81,872,unknown,Cash,1,18,1,4,2016
5188.55,1110.76,0,553.5,6852.81,380,unknown,"Credit Card",1,18,1,4,2016
7463.91,0,0,725.25,8189.16,745,unknown,Cash,1,19,1,4,2016
5483.39,1172.61,0,447.25,7103.25,390,unknown,"Credit Card",1,19,1,4,2016
20352,24.71,0,559,20935.71,651,unknown,Cash,1,20,1,4,2016
5058.06,1135.51,0,465,6658.57000000001,366,unknown,"Credit Card",1,20,1,4,2016
10721.65,0,0,643.75,11365.4,674,unknown,Cash,1,21,1,4,2016
5483.08,1215.82,0,419,7117.9,406,unknown,"Credit Card",1,21,1,4,2016
5786.11,2,0,480.38,6268.49,571,unknown,Cash,1,22,1,4,2016
4721.73,1036.03,0,407.5,6165.26,373,unknown,"Credit Card",1,22,1,4,2016
13756.73,3,100,433.7,14293.43,501,unknown,Cash,1,23,1,4,2016
3913.89,892.14,0,292.5,5098.53,326,unknown,"Credit Card",1,23,1,4,2016
21482.59,6,200,449.25,22137.84,546,unknown,Cash,2,0,1,5,2016
4076.44,939.41,0,398.25,5414.1,340,unknown,"Credit Card",2,0,1,5,2016
